batch_id,production_date,shift,line_id,machine_id,operator_id,parts_produced,defects_found,defect_type,mold_temp_c,pour_temp_c,moisture_pct,sand_ratio
B1000,07-01-2024,Day,L-3,M-03,OP-12,118,37,Cold Shut,214.7,1422.7,3.81,0.89
B1001,05-02-2024,Day,L-1,M-01,OP-12,98,21,Blowhole,201.1,1401.1,4.13,0.84
B1002,31-05-2024,Day,L-3,M-03,OP-07,82,26,Blowhole,205.4,1423.1,3.87,0.84
B1003,25-02-2024,Day,L-1,M-01,OP-04,91,20,Blowhole,204.7,1408.6,4.22,0.85
B1004,15-06-2024,Day,L-3,M-03,OP-12,95,30,Misrun,195.2,1412.5,4.02,0.89
B1005,30-05-2024,Night,L-1,M-01,OP-05,82,22,Blowhole,207.1,1427.5,4.49,0.85
B1006,28-03-2024,Night,L-1,M-01,OP-05,104,28,Shrinkage,204,1410.6,3.78,0.91
B1007,27-01-2024,Night,L-1,M-01,OP-02,86,36,Misrun,206.1,1420.6,4.99,0.82
B1008,29-03-2024,Night,L-1,M-01,OP-10,129,34,Cold Shut,237.8,1431.4,3.31,0.89
B1009,17-05-2024,Night,L-1,M-01,OP-02,108,45,Misrun,208.8,1417.6,4.72,0.84
B1010,09-06-2024,Night,L-1,M-01,OP-10,95,25,Cold Shut,214.6,1439.6,4.38,0.85
B1011,29-06-2024,Day,L-3,M-03,OP-02,124,39,Blowhole,203.2,1409.2,4.43,0.87
B1012,15-03-2024,Day,L-3,M-03,OP-02,103,48,Shrinkage,217,1425.2,4.85,0.86
B1013,12-03-2024,Night,L-1,M-01,OP-08,120,32,Cold Shut,224.7,1413.3,3.57,0.82
B1014,31-03-2024,Night,L-1,M-01,OP-04,116,48,Cold Shut,209.3,1435.3,4.77,0.88
B1015,04-06-2024,Day,L-3,M-03,OP-11,116,37,Shrinkage,203.9,1426.8,3.55,0.86
B1016,11-02-2024,Day,L-3,M-03,OP-08,92,29,Misrun,236.3,1413.3,4.31,0.82
B1017,24-06-2024,Day,L-2,M-02,OP-06,83,18,Blowhole,224.8,1420.4,4.05,0.83
B1018,21-03-2024,Day,L-1,M-01,OP-07,115,25,Cold Shut,217,1424.1,4.3,0.86
B1019,25-05-2024,Day,L-1,M-01,OP-15,121,44,Cold Shut,212.6,1432.4,4.55,0.86
B1020,11-04-2024,Night,L-1,M-01,OP-15,123,51,Misrun,202.3,1411.9,4.87,0.84
B1021,05-02-2024,Night,L-1,M-01,OP-04,104,28,Cold Shut,206.1,1410.1,3.71,0.81
B1022,29-05-2024,Night,L-3,M-03,OP-07,92,34,Cold Shut,206,1420.2,2.34,0.84
B1023,10-05-2024,Day,L-1,M-01,OP-08,123,27,Blowhole,213,1407.3,3.73,0.81
B1024,09-02-2024,Day,L-1,M-01,OP-11,128,28,Shrinkage,218.2,1414.6,4.19,0.82
B1025,01-06-2024,Night,L-3,M-03,OP-02,82,30,Misrun,211,1400.1,3.45,0.84
